project_name,notice_type,region,notice_date,bid_description,sector_description,link
regional emergency solar power intervention project,contract award,none,27-jun-2024,consultancy services for provision of senior international bess specialist - respite panel of experts,"['renewable energy solar', 'other energy and extractives', 'public administration - energy and extractives', 'energy transmission and distribution']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298229
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298231
angola health system performance strengthening project (hspsp),contract award,none,27-jun-2024,procurement and distribution of essential medicine kits and separate medicines.,"['public administration - health', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298227
angola health system performance strengthening project (hspsp),contract award,none,27-jun-2024,procurement and distribution of essential medicine kits and separate medicines.,"['public administration - health', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298228
mozambique digital acceleration project,contract award,none,27-jun-2024,supply and installation of computer and meeting room electronic equipment,"['ict infrastructure', 'secondary education', 'public administration - information and communications technologies', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298226
madagascar safety nets and resilience project,invitation for bids,madagascar,27-jun-2024,services de transferts monétaires par les opérateurs mobiles,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298224
support for resilient livelihoods in the south of madagascar,contract award,none,27-jun-2024,acquisition de matériels de loisirs,"['public administration - social protection', 'social protection', 'water supply', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298225
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,27-jun-2024,construction of 2 box culverts cells and gravelling  in chalinze dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298221
multipurpose cadaster project,contract award,none,27-jun-2024,"sdprf 2042 contratar la prestación de servicios de un (1) consultor individual para que preste con plena autonomía técnica y administrativa sus servicios en el desarrollo de jornadas de orientación, información y asesoría jurídica en orip carmen de boliva","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298223
"investing in maternal, child and adolescent health",contract award,none,27-jun-2024,acquisition de matériels de bureau pour la direction des affaires juridiques du msas,"['health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298222
digital transformation for africa/ western africa regional digital integration program sop1,contract award,none,27-jun-2024,recruitment of connectivity specialist,"['ict infrastructure', 'ict services', 'public administration - information and communications technologies']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298219
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,desilting of major storm drains in the state metropolis and building of municipal solid waste collection centres.,"['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298220
tamil nadu irrigated agriculture modernization project,contract award,none,27-jun-2024,mineral mixture. 18720 numbers of 1 kg pack mineral mixture containing essential and trace minerals for distribution to 3120 animals before controlled breeding to improve the conception rate in 9 sub basins of phase iv.,"['irrigation and drainage', 'other agriculture, fishing and forestry', 'agricultural markets, commercialization and agri-business', 'crops', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'livestock', 'fisheries']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298218
