project_name,notice_type,region,notice_date,bid_description,sector_description
Solomon Islands Community Benefits Sharing Project -- Phase 2,Contract Award,East Asia And Pacific,14-Jun-2024,"MFP Office Printer, Staff Laptops, Field tablet and Storage drive","Agricultural Extension, Research, and Other Support Activities,Fisheries,Forestry,Social Protection"
Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,Invitation for Bids,Eastern And Southern Africa,14-Jun-2024,Travaux d' Extension du batiment projet FSRP-KM,"Agricultural markets, commercialization and agri-business,Irrigation and Drainage,Other Agriculture, Fishing and Forestry,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
Regional Disease Surveillance Systems Enhancement Project (REDISSE) Phase IV,Contract Award,Western And Central Africa,14-Jun-2024,"Preparation of 55 Medical Waste Management Plans for Hospitals, Health Units and laboratories","Health Facilities and Construction,Public Administration - Health,Health,ICT Infrastructure"
Honduras Tropical Cyclones Eta and Iota Emergency Recovery Project,Contract Award,Latin America And Caribbean,14-Jun-2024,Consultor de Control y Seguimiento Ambiental y Social de la UEP,"Other Public Administration,Sub-National Government,Social Protection"
South Tarawa Sanitation Project,Request for Expression of Interest,East Asia And Pacific,14-Jun-2024,Director for Water and Sanitation Engineering Department,"Sanitation,Public Administration - Water, Sanitation and Waste Management"
Access to Finance & Economic Opportunities Project – Mais Oportunidades,Request for Expression of Interest,Eastern And Southern Africa,13-Jun-2024,Enterprise development specialist,"Capital Markets,Public Administration - Financial Sector,Sub-National Government"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,14-Jun-2024,Consultancy Services for the supervision of 45km Backlog Maintenance of rural roads,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Modernization of Water Supply and Sanitation Services,Request for Expression of Interest,Latin America And Caribbean,14-Jun-2024,Contratación de consultoría para desarrollar acciones relacionadas al Programa Avanzado en Dirección de Agua y Saneamiento (PADAS II),"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Oil Palm Processing site, drilling of borehole, and other works  for (1 No.) collectives in Takum L.G.A  Taraba State","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Enhancement and Strengthening of Power Transmission Network in Eastern Region,Invitation for Bids,South Asia,13-Jun-2024,Supply of Different Types tools and safety equipment for PGCB Maintenance upgradation (P-07_Lot-2),"Renewable Energy Solar,Energy Transmission and Distribution,Public Administration - Energy and Extractives,Oil and Gas"
Cameroon: Inclusive and Resilient Cities Development Project,Contract Award,Western And Central Africa,13-Jun-2024,Fourniture des matériaux de construction aux personnes affectées par le projet (PAP) dans la ville de Batouri ayant des montants additionnels sur leur construction.,"Sanitation,Urban Transport,Sub-National Government"
State of Maharashtra's Agribusiness and Rural Transformation Project,Request for Expression of Interest,South Asia,13-Jun-2024,"Selection of Technical Support Agency (TSA) for Livestock Business Development under PIU-AHD, SMART","Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Strengthening Foundations for Learning Project,Contract Award,Middle East And North Africa,13-Jun-2024,"AO ZAG 16/2022 (3 lots) pour la construction CP et réhabilitation de 3 écoles :Lot 1 : E.P.Hmira, Lot 2 : E.P.Zaghtoun,Lot 3 : E.P.Echaalil","Primary Education,Public Administration - Education,Early Childhood Education"
Palestinian Heritage Trail: Increased Economic Opportunities and Improved Livelihood for Fragile Com,Contract Award,Middle East And North Africa,13-Jun-2024,Design and development of an online platform,"Tourism,Public Administration - Industry, Trade and Services"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Energy Utility Performance and Reliability Improvement Project,General Procurement Notice,East Asia And Pacific,13-Jun-2024,,"Energy Transmission and Distribution,Other Energy and Extractives,Public Administration - Energy and Extractives"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of Different types of dairy, fishery & poultry production equipment's (materials)","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Vanuatu Climate Resilient Transport Project,Contract Award,East Asia And Pacific,14-Jun-2024,Consulting Services for Procurement Specialist (International),"Rural and Inter-Urban Roads,Public Administration - Transportation"
KH - Road Asset Management Project II,Contract Award,East Asia And Pacific,13-Jun-2024,Community Based Road Safety Program (CBRSP) for National Road 4 (PK19+700 to PK215+800),"Rural and Inter-Urban Roads,Public Administration - Transportation,Rural and Inter-Urban Roads,Public Administration - Transportation"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurements of HDPE pipe and Fittings by Reginal Water Bureau (RWB),"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
